deviceType,avgPwr,varPwr,maxPwr,minPwr,duty,ct5,spk5,ct10,spk10,ct15,spk15,ct25,spk25,ct50,spk50,ct75,spk75,ct100,spk100,ct150,spk150,ct250,spk250,ct500,spk500
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
